# 中国行政区划代码数据
# 格式：代码|名称|级别 (1=省级, 2=市级)
532300|楚雄彝族自治州|2
532500|红河哈尼族彝族自治州|2
532600|文山壮族苗族自治州|2
532800|西双版纳傣族自治州|2
532900|大理白族自治州|2
533100|德宏傣族景颇族自治州|2
533300|怒江傈僳族自治州|2
533400|迪庆藏族自治州|2
540000|西藏自治区|1
540100|拉萨市|2
540200|日喀则市|2
540300|昌都市|2
540400|林芝市|2
540500|山南市|2
540600|那曲市|2
542500|阿里地区|2
610000|陕西省|1
610100|西安市|2
610200|铜川市|2
610300|宝鸡市|2
610400|咸阳市|2
610500|渭南市|2
610600|延安市|2
610700|汉中市|2
610800|榆林市|2
610900|安康市|2
611000|商洛市|2
620000|甘肃省|1
620100|兰州市|2
620200|嘉峪关市|2
620300|金昌市|2
620400|白银市|2
620500|天水市|2
620600|武威市|2
620700|张掖市|2
620800|平凉市|2
620900|酒泉市|2
621000|庆阳市|2
621100|定西市|2
621200|陇南市|2
622900|临夏回族自治州|2
623000|甘南藏族自治州|2
630000|青海省|1
630100|西宁市|2
630200|海东市|2
632200|海北藏族自治州|2
632300|黄南藏族自治州|2
632500|海南藏族自治州|2
632600|果洛藏族自治州|2
632700|玉树藏族自治州|2
632800|海西蒙古族藏族自治州|2
640000|宁夏回族自治区|1
640100|银川市|2
640200|石嘴山市|2
640300|吴忠市|2
640400|固原市|2
640500|中卫市|2
650000|新疆维吾尔自治区|1
650100|乌鲁木齐市|2
650200|克拉玛依市|2
650400|吐鲁番市|2
650500|哈密市|2
652300|昌吉回族自治州|2
652700|博尔塔拉蒙古自治州|2
652800|巴音郭楞蒙古自治州|2
652900|阿克苏地区|2
653000|克孜勒苏柯尔克孜自治州|2
653100|喀什地区|2
653200|和田地区|2
654000|伊犁哈萨克自治州|2
654200|塔城地区|2
654300|阿勒泰地区|2
659001|石河子市|2
659002|阿拉尔市|2
659003|图木舒克市|2
659004|五家渠市|2
659005|北屯市|2
659006|铁门关市|2
659007|双河市|2
659008|可克达拉市|2
659009|昆玉市|2
659010|胡杨河市|2
